Name,yt_name,Link,start_min,start_sec,end_min,end_sec
six,numbers,https://youtu.be/ZXqhw1b6_DY,0,18,0,19
seven,numbers,https://youtu.be/ZXqhw1b6_DY,0,21,0,22
eight,numbers,https://youtu.be/ZXqhw1b6_DY,0,24,0,25
nine ,numbers,https://youtu.be/ZXqhw1b6_DY,0,28,0,29
ten,numbers,https://youtu.be/ZXqhw1b6_DY,0,31,0,33
twenty,numbers,https://youtu.be/ZXqhw1b6_DY,0,40,0,42
thirty,numbers,https://youtu.be/ZXqhw1b6_DY,0,43,0,45
forty,numbers,https://youtu.be/ZXqhw1b6_DY,0,47,0,49
fifty,numbers,https://youtu.be/ZXqhw1b6_DY,0,51,0,53
sixty,numbers,https://youtu.be/ZXqhw1b6_DY,0,55,0,57
seventy,numbers,https://youtu.be/ZXqhw1b6_DY,1,0,1,2
eighty,numbers,https://youtu.be/ZXqhw1b6_DY,1,4,1,6
ninety,numbers,https://youtu.be/ZXqhw1b6_DY,1,8,1,10
hundred,numbers,https://youtu.be/ZXqhw1b6_DY,1,12,1,15
watermelon,watermelon,https://youtu.be/Bmq6b73OAQ4,0,0,0,2
papaya,papaya,https://youtu.be/7ghzTv4t-MU,0,0,0,2
orange,orange,https://youtu.be/cPzYNzLFQo0,0,0,0,2
mango,mango,https://youtu.be/fcuSg0jzcwI,0,0,0,2
lemon,lemon,https://youtu.be/rGn67Xxthrk,0,0,0,2
banana,banana,https://youtu.be/DbWWsUmMXUA,0,4,0,6
apple,apple,https://youtu.be/Lu_R01JQky8,0,0,0,2
tuesday,tuesday-2,https://youtu.be/7WLX7jxH84k,0,0,0,2
wednesday,wednesday-1,https://youtu.be/xuOaEQ2bdb0,0,0,0,1
thursday,thursday-1,https://youtu.be/2WBsjTVGFDw,0,0,0,1
friday,friday-1,https://youtu.be/b_lBAwm-AC4,0,0,0,1
saturday,saturday-1,https://youtu.be/fSdet-nqdsA,0,0,0,2
october,october,https://youtu.be/U7Y3GocRUak,0,0,0,2
march,marth,https://youtu.be/0VvmrIYSsR0,0,0,0,2
may,may,https://youtu.be/yXkOz_A01t0,0,0,0,1
holiday,holiday,https://youtu.be/uZuvBINbAqo,0,1,0,2
year,year,https://youtu.be/7usxzuFAysI,0,0,0,1
week,week-2,https://youtu.be/zuOOzSoUPcU,0,0,0,1
september,Sep-01,https://youtu.be/3tFefLfXIn4,0,0,0,2
november,november,https://youtu.be/GqCMtSaTMwQ,0,0,0,2
month,month,https://youtu.be/xA8hTvpWbh0,0,0,0,1
monday,monday-1,https://youtu.be/VhiPxEZMhus,0,0,0,2
june,june,https://youtu.be/18hKLmAVIMg,0,0,0,2
july,july,https://youtu.be/jrpS8BdYE2g,0,0,0,2
january,Jan-01,https://youtu.be/Mo-VXbTe0bs,0,0,0,2
february,february,https://youtu.be/_yuawBKn9O0,0,0,0,2
december,december,https://youtu.be/y1XgtWNM-OM,0,0,0,1
date,date-1,https://youtu.be/H0k_c6twr-Y,0,0,0,1
birthday,birthday,https://youtu.be/gZ8N1iYkH34,0,0,0,2
august,Aug-01,https://youtu.be/RMo1aaidZJo,0,0,0,2
april,april,https://youtu.be/XCsc6GXwslU,0,0,0,2
cycle,cycle,https://youtu.be/I5A2blkb1T8,0,0,0,2
me,me,https://youtu.be/f7XWdoOSSNw,0,0,0,2
